case_name,dice,iou,precision,recall,tp,fp,fn,tn,gt_area,pred_area,fp_area_ratio,fn_area_ratio,num_gt_cc,num_pred_cc,mean_component_size,perimeter,boundary_to_area_ratio,thinness_score,fragmentation_ratio,mean_routing_entropy,cnn_expert_fraction,vit_expert_fraction,expert_hhi_concentration,mean_gs,cnn_expert_selections,vit_expert_selections,error_taxonomy,primary_error_category,performance_tier
IMG_2942_649_485,0.36782212852956747,0.2253566446150846,0.23052446759872233,0.9095238055864769,2101,7013,209,304309,2310,9114,0.7694755321483432,0.09047619047619047,3,2,770.0,1534,0.664069264069264,0.332034632034632,0.6666666666666666,1.9999594082820786,0.375,0.625,0.0998263888888889,0.512675,18,30,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160328_151020_1_361,0.3770607296202193,0.232332001881983,0.23385475816319606,0.9727371829417041,2676,8767,75,218882,2751,11443,0.766145241632439,0.027262813522355506,1,3,2751.0,1264,0.45946928389676484,0.22973464194838242,3.0,1.9999789018014333,0.4791666666666667,0.5208333333333334,0.11197916666666669,0.5142583333333334,23,25,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160321_185557_1_361,0.38184079542624255,0.23597232852426533,0.23679136090090366,0.9855537641608847,1228,3958,18,225196,1246,5186,0.763208638642499,0.014446227929373997,1,3,1246.0,314,0.2520064205457464,0.1260032102728732,3.0,1.9999783178773523,0.3125,0.6875,0.09635416666666669,0.5121333333333334,15,33,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160310_114505_1281_1,0.41193627954685186,0.2593953090429566,0.2593953090429566,0.999999994553377,1836,5242,0,223322,1836,7078,0.7406046905905623,0.0,4,1,459.0,1931,1.051742919389978,0.525871459694989,0.25,1.9999844213392226,0.2916666666666667,0.7083333333333334,0.09548611111111112,0.5114000000000002,14,34,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160326_142521_1281_1081,0.41613278914366225,0.26273211939192476,0.39893913903143735,0.4348752269176043,1429,2153,1857,224961,3286,3582,0.6010608598548297,0.5651247717589775,2,1,1643.0,933,0.2839318320146074,0.1419659160073037,0.5,1.9999765048694025,0.3125,0.6875,0.09635416666666667,0.5116999999999999,15,33,['thin_low_area_failure'],thin_low_area_failure,Low_Dice (<25%)
20160407_165001_641_1081,0.4249936751517915,0.2698361704628394,0.2914137028769927,0.7846800523835588,1680,4085,461,224174,2141,5765,0.7085862966175195,0.21531994395142456,2,5,1070.5,1225,0.572162540868753,0.2860812704343765,2.5,1.9999807009504955,0.3333333333333333,0.6666666666666666,0.09722222222222222,0.5112666666666665,16,32,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160316_143547_1281_1081,0.42900048862960083,0.2730748708224481,0.27796886289104916,0.9394310157863841,3071,7977,198,219154,3269,11048,0.7220311368573498,0.06056898133985929,3,2,1089.6666666666667,774,0.23676965432854083,0.11838482716427041,0.6666666666666666,1.9999860726118175,0.3125,0.6875,0.09635416666666667,0.5119083333333333,15,33,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
20160328_152511_1921_721,0.44729473358567906,0.28807446156128624,0.7639617378464617,0.31621966753994935,2476,765,5354,221805,7830,3241,0.23603825979635915,0.6837803320561942,1,2,7830.0,1447,0.18480204342273307,0.09240102171136653,2.0,1.9999819651767197,0.4375,0.5625,0.09982638888888888,0.5129416666666667,21,27,"['missed_crack_high_fn', 'thin_low_area_failure']",missed_crack_high_fn,Low_Dice (<25%)
20160328_151752_1_721,0.4542186499170678,0.29384404844365514,0.2940049266520533,0.9981412546641147,1074,2579,2,226745,1076,3653,0.7059950725431152,0.0018587360594795538,5,2,215.2,573,0.5325278810408922,0.2662639405204461,0.4,1.9999781169268,0.4166666666666667,0.5833333333333334,0.10243055555555555,0.5125916666666667,20,28,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation', 'complex_topology']",false_crack_high_fp,Low_Dice (<25%)
20160222_165926_1281_361,0.47134902017002156,0.3083431250097694,0.3083431250097694,0.9999999923780488,1312,2943,0,226145,1312,4255,0.6916568742655699,0.0,2,2,656.0,1592,1.2134146341463414,0.6067073170731707,1.0,1.9999681464738737,0.375,0.625,0.09635416666666666,0.5125000000000001,18,30,"['false_crack_high_fp', 'thin_low_area_failure', 'over_segmentation']",false_crack_high_fp,Low_Dice (<25%)
