case_name,dice,iou,precision,recall,tp,fp,fn,tn,gt_area,pred_area,fp_area_ratio,fn_area_ratio,num_gt_cc,num_pred_cc,mean_component_size,perimeter,boundary_to_area_ratio,thinness_score,fragmentation_ratio,mean_routing_entropy,cnn_expert_fraction,vit_expert_fraction,expert_hhi_concentration,mean_gs,cnn_expert_selections,vit_expert_selections,error_taxonomy,primary_error_category,performance_tier
20160328_153620_1281_721,0.8395095959833806,0.7234093389119984,0.7419998596939991,0.966525288016361,21193,7369,734,201104,21927,28562,0.25800014004621524,0.033474711542846716,12,2,1827.25,5996,0.2734528207233092,0.1367264103616546,0.16666666666666666,1.9999826675912342,0.3125,0.6875,0.09027777777777778,0.5115166666666666,15,33,"['complex_topology', 'boundary_margin_error']",complex_topology,Medium_Dice (25-75%)
20160328_153620_1921_1081,0.906261968160541,0.8285914376008129,0.9016003039611352,0.9109720876699018,9465,1033,925,218977,10390,10498,0.09839969518003429,0.08902791145332051,1,1,10390.0,1998,0.1923002887391723,0.09615014436958615,1.0,1.9999834252106348,0.4375,0.5625,0.09635416666666669,0.5131,21,27,['high_quality'],high_quality,High_Dice (>75%)
20160328_153620_1921_361,0.8915172047975634,0.8042679675824379,0.8355230574080103,0.9555555552371963,28681,5646,1334,194739,30015,34327,0.16447694234858856,0.044444444444444446,2,2,15007.5,4710,0.15692153923038482,0.07846076961519241,1.0,1.9999907061481184,0.3333333333333333,0.6666666666666666,0.08767361111111112,0.5115999999999999,16,32,['high_quality'],high_quality,High_Dice (>75%)
20160328_153620_1_361,0.9186523992268901,0.8495440305874812,0.8672854351092883,0.976487080327369,30649,4690,738,194323,31387,35339,0.13271456464529274,0.0235129193615191,2,1,15693.5,3918,0.1248287507566827,0.06241437537834135,0.5,1.999990186528418,0.22916666666666666,0.7708333333333334,0.09722222222222224,0.5106666666666667,11,37,['high_quality'],high_quality,High_Dice (>75%)
20160328_153620_1_721,0.9489875993180132,0.9029271193205988,0.9104050581081087,0.990985082788092,6046,595,55,223704,6101,6641,0.08959494052100588,0.009014915587608589,1,2,6101.0,709,0.11621045730208163,0.05810522865104081,2.0,1.9999809545563034,0.4375,0.5625,0.09548611111111112,0.5140916666666667,21,27,['high_quality'],high_quality,High_Dice (>75%)
20160328_153620_641_361,0.8551039398975464,0.7468834680250586,0.7685443382392144,0.9636363622886205,6890,2075,260,221175,7150,8965,0.23145566090351366,0.03636363636363636,4,2,1787.5,1854,0.2593006993006993,0.12965034965034966,0.5,1.9999843770141592,0.3958333333333333,0.6041666666666666,0.09548611111111112,0.5131333333333333,19,29,['high_quality'],high_quality,Medium_Dice (25-75%)
20160328_153620_641_721,0.8732003605844851,0.7749384451679672,0.824578475433767,0.9279155959803066,44063,9374,3423,173540,47486,53437,0.17542152441192432,0.07208440382428505,3,1,15828.666666666666,8363,0.17611506549298742,0.08805753274649371,0.3333333333333333,1.9999803822299889,0.22916666666666666,0.7708333333333334,0.09114583333333334,0.5077,11,37,['high_quality'],high_quality,High_Dice (>75%)
20160328_153629_1281_361,0.9639956086915502,0.9304937476896655,0.934454138184237,0.9954658796242736,8782,616,40,220962,8822,9398,0.06554586082145138,0.004534119247336205,1,1,8822.0,698,0.07912038086601678,0.03956019043300839,1.0,1.9999820605018643,0.4583333333333333,0.5416666666666666,0.10416666666666667,0.5142833333333333,22,26,['high_quality'],high_quality,High_Dice (>75%)
20160328_153629_1281_721,0.9053330344936095,0.8270396961095875,0.876439047123309,0.9361970937308077,22230,3134,1515,203521,23745,25364,0.1235609525311465,0.06380290587492103,1,1,23745.0,3705,0.1560328490208465,0.07801642451042325,1.0,1.99998734659008,0.3333333333333333,0.6666666666666666,0.09114583333333334,0.5111916666666666,16,32,['high_quality'],high_quality,High_Dice (>75%)
20160328_153629_1921_361,0.923510251463626,0.8578904283289801,0.9100917997425593,0.9373303092160442,29345,2899,1962,196194,31307,32244,0.08990819997518919,0.06266969048455617,1,1,31307.0,3988,0.1273836522183537,0.06369182610917686,1.0,1.9999847767854677,0.3333333333333333,0.6666666666666666,0.09375,0.5112249999999999,16,32,['high_quality'],high_quality,High_Dice (>75%)
